id,brand,category,gender,target_audience,price
33587,Aquafresh,Gezond & verzorging,Unisex,Volwassenen,1.29
22234,Argan,Gezond & verzorging,Vrouw,Vrouwen,2.29
22235,Argan,Gezond & verzorging,Vrouw,Vrouwen,3.99
22233,Argan,Gezond & verzorging,Vrouw,Vrouwen,2.29
30791,At Home,Huishouden,Unisex,Volwassenen,1.49
21858,At Home,Huishouden,Unisex,Volwassenen,0.59
30034,At Home,Huishouden,Kinderen,Kantoor,1.49
24726,At Home,Huishouden,Unisex,Volwassenen,1.29
30790,At Home,Huishouden,Vrouw,Volwassenen,1.49
23111,At Home,Huishouden,Unisex,Volwassenen,0.59
33707,At Home,Huishouden,Gezin,Kantoor,1.49
27063,At Home,Huishouden,Gezin,Volwassenen,1.29
33533,At Home,Huishouden,Gezin,Kantoor,1.29
25363-groen,Bodysecret,Gezond & verzorging,Vrouw,Vrouwen,2.29
16112,Bio-Oil,Gezond & verzorging,Unisex,Volwassenen,16.98
31052,BodyX,Gezond & verzorging,Vrouw,Vrouwen,1.29
8956,Clean,Gezond & verzorging,Unisex,Volwassenen,0.99
30286,Capri-Sun,Eten & drinken,Kinderen,Kinderen,2.95
28068,Colgate,Gezond & verzorging,Unisex,Volwassenen,0.79
29198,Dettol,Gezond & verzorging,Kinderen,Kinderen,2.29
3540,Dove,Gezond & verzorging,Vrouw,Volwassenen,3.95
8545,Dove,Gezond & verzorging,Vrouw,Vrouwen,1.49
25492,Dove,Gezond & verzorging,Vrouw,Vrouwen,2.99
26456,Dove,Gezond & verzorging,Unisex,Volwassenen,1.49
22184,L Oreal,Gezond & verzorging,Vrouw,Vrouwen,2.49
16767,L Oreal,Gezond & verzorging,Vrouw,Vrouwen,2.99
6508,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.29
16050,Fa,Gezond & verzorging,Man,Mannen,1.29
23181,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.49
24859,Head And Shoulders,Gezond & verzorging,Unisex,Volwassenen,3.49
31812,KFS-B-Candles,Wonen & vrije tijd,Unisex,Volwassenen,1.49
1684,L Oreal,Gezond & verzorging,Vrouw,Vrouwen,7.99
